id_product,category,name,price,stock
0,Hogar,Mesa,125.74,30
2,Deportes,Mochila,88.82,42
3,Hogar,Espejo,106.69,3
4,Ropa,Shorts,65.37,32
5,Electronica,Teclado,1134.81,14
6,Ropa,Gorra,190.57,47
7,Libros,Thriller,26.81,25
8,Electronica,Parlante,516.5,16
9,Ropa,Campera,144.03,30
10,Electronica,Laptop,201.2,9
11,Hogar,Silla,275.45,20
12,Libros,Ciencia Ficción,37.34,68
13,Libros,Autoayuda,25.53,10
14,Electronica,Laptop,857.51,72
15,Libros,Diccionario,43.05,28
16,Hogar,Espejo,197.15,90
17,Deportes,Pesas,13.34,86
18,Libros,Biografía,12.45,42
20,Libros,Cómic,42.71,100
21,Ropa,Campera,79.39,65
22,Electronica,Monitor,799.43,0
23,Deportes,Mochila,55.34,39
24,Electronica,Auriculares,880.7,21
25,Hogar,Lámpara,490.91,43
26,Hogar,Almohada,375.64,0
27,Deportes,Colchoneta,41.77,26
28,Ropa,Gorra,194.83,42
29,Ropa,Bufanda,57.88,99
30,Electronica,Monitor,475.46,24
31,Ropa,Bufanda,12.22,41
33,Hogar,Espejo,158.23,70
34,Libros,Cómic,15.66,58
35,Deportes,Colchoneta,39.11,66
36,Libros,Novela,84.10499999999999,99
37,Electronica,Parlante,432.78,50
38,Libros,Autoayuda,38.3,12
39,Deportes,Guantes,42.29,42
40,Deportes,Raqueta,84.10499999999999,91
42,Hogar,Cuadro,108.66,34
43,Libros,Poesía,13.08,7
44,Hogar,Silla,372.05,36
45,Libros,Poesía,37.39,47
46,Libros,Autoayuda,23.45,95
47,Libros,Thriller,46.83,33
48,Libros,Novela,34.32,19
49,Electronica,Parlante,824.7,93
